文件名,总词数,唯一词数,平均词长,词性种类数,高频前10词
Chinese news_jieba.txt,241,133,1.99,23,"载人(13), 安全性(12), 航天(11), 的(9), 要求(5), 在(5), 和(5), 技术(4), 我国(4), 工作(4)"
Chinese news_snownlp.txt,254,136,1.89,136,"载人(13), 安全性(12), 航天(11), 的(9), 国际(6), 标准(5), 要求(5), 在(5), 和(5), 工作(5)"
Chinese news_thulac.txt,250,134,1.92,17,"载人(13), 安全性(12), 航天(11), 的(9), 国际(6), 标准(5), 要求(5), 和(5), 工作(5), 技术(4)"
Chinese novel_jieba.txt,208,144,1.59,27,"的(15), 孔乙己(7), 他(6), 又(5), 了(5), 人(4), 便(4), 上(4), 你(4), 什么(3)"
Chinese novel_snownlp.txt,243,160,1.36,160,"的(17), 孔(7), 乙己(7), 了(6), 人(5), 便(5), 他(4), 又(4), 懂(4), 不(4)"
Chinese novel_thulac.txt,235,155,1.41,18,"的(17), 孔乙己(7), 他(6), 了(6), 人(5), 又(5), 么(5), 便(4), 上(4), 你(4)"
Chinese poem_jieba.txt,130,87,1.49,20,"的(13), 我(10), 在(5), 是(4), 轻轻(3), 里(3), 一(3), 走(2), 了(2), 正如(2)"
Chinese poem_snownlp.txt,140,92,1.39,92,"的(13), 我(10), 是(5), 在(5), 一(5), 里(3), 不(3), 悄悄(3), 轻轻(2), 走(2)"
Chinese poem_thulac.txt,141,86,1.38,18,"的(17), 我(10), 一(6), 是(5), 在(5), 轻轻(3), 里(3), 不(3), 悄悄(3), 走(2)"
